,productid,imageid,has_description
153,13977270,326469132,0
154,126502706,882051569,0
155,4130691310,1297380101,0
156,281016750,1009686845,0
157,439696947,1008943235,0
158,3367389216,1263519951,0
159,3126628049,1204655959,0
160,55117630,710005778,0
161,543485121,1202916262,0
162,166806989,1274776254,0
163,64513970,875925518,0
164,4131315131,1297637743,0
165,183036736,934471189,0
166,112420795,882803023,0
167,86002858,857883871,0
168,1221573345,1226431965,0
169,229016171,1274870239,0
170,4162615587,1304645419,0
171,67739219,997562648,0
172,4121012999,1299030017,0
173,121458883,1033511786,0
174,128017955,883073338,1
175,131675115,957886869,1
176,3927844649,1264892186,1
177,1304184463,1310344599,0
178,3770347660,1243068623,0
179,49390095,854231581,0
180,3651504900,1251958772,0
181,257960799,1061377341,0
182,273897843,1274437303,0
183,451861911,1054597280,0
184,3586041857,1224371936,0
185,121607338,876357625,1
186,118175727,1274731844,0
187,200505007,938482140,0
188,46513566,309247541,0
189,8677093,1013210601,0
190,155807726,911892455,0
191,4163324110,1305350585,0
192,439808537,1009068908,0
193,3519482749,1220050986,0
194,439177149,1008758198,0
195,248523,1288413878,0
196,2012858693,1198545678,0
197,3134877648,1300817686,0
198,73601293,894998642,0
199,4928594,351203769,0
200,439172760,1008753784,0
201,87580169,894889891,0
202,62828650,1157234732,0
203,1867107781,1218980340,0
204,275149156,976037531,0
205,2602703138,1263666657,0
206,1970829723,1295504224,0
207,486354441,1036159842,0
208,1285963028,1274775250,0
209,150692334,906323657,0
210,2474931,1274861199,0
211,403005618,1004274571,1
212,1831817558,1143050473,0
213,248537140,964892757,1
214,53278963,997348898,0
215,2318203876,1136071989,0
216,86570250,895266803,0
217,1767569,1255981255,0
218,165019721,1179167555,0
219,261622,1283036881,0
220,107714342,894764601,0
221,86975191,989986208,0
222,4128339996,1296298840,0
223,1916409529,1111912210,0
224,117652171,875678703,1
225,1538052,1274861838,0
226,3039608938,1186905345,0
227,70239173,876223555,0
228,3380690700,1209670814,0
229,67957063,875601109,0
230,3341607761,1207502593,1
231,5147384,849128891,0
232,2916877803,1172207688,0
233,126134846,987088284,0
234,282234424,1056624587,0
235,3196622269,1247731190,0
236,1902781008,1110490423,1
237,65351491,1283037872,0
238,95306496,882068405,0
239,86788227,997323780,0
240,191515944,948200962,0
241,87439048,857132728,0
242,66633336,1263574356,0
243,4069186909,1285438399,0
244,149841737,920911218,1
245,439663094,1008972610,0
246,3121382696,1263577323,0
247,143687848,1062167158,0
248,3048784723,1283487993,0
249,479812,1274732075,0
250,1859565371,1106006060,1
251,4163043115,1304922537,0
252,49182521,835699351,0
253,52822260,523361730,0
254,93258101,997332749,0
255,4162756614,1304707267,0
256,2956336066,1176333411,0
257,2005506947,1211660370,0
258,4131615095,1297704279,0
259,1155465733,1065871365,0
260,86324884,857884005,0
261,148244303,946555389,0
262,1816055,910128706,0
263,122897963,895941954,0
264,273080264,978948823,0
265,112568440,1274791740,0
266,85631984,907817169,0
267,178663889,926446125,1
268,2690280696,1274758127,0
269,86044239,894486635,0
270,5171091,866688980,0
271,4128126470,1296079655,0
272,66630578,835295185,0
273,1375636,142024330,0
274,4132439572,1296889683,0
275,1726335,895590083,0
276,1020367121,1053067581,0
277,3351568045,1208457263,0
278,17878283,1269784594,0
279,547201064,1281952921,0
280,3761348150,1242011350,0
281,522463,1274777499,0
282,439743152,1009022661,0
283,1106339076,1204322735,0
284,1247762,1274810181,0
285,433300377,1007209695,0
286,2613235,893546050,0
287,1266427,1024521,0
288,986710,1255989658,0
289,4125352914,1295238876,0
290,143789637,1061207134,0
291,51049250,628422733,0
292,246124628,964179514,0
293,93531648,864137546,0
294,237953708,1296182662,0
295,3961101702,1269639513,0
296,234400597,959944892,1
297,79068157,872474729,0
298,2875502252,1274369833,0
299,4126401515,1295444994,0
300,92833916,907546731,0
301,87429455,938973776,0
302,1565820894,1269974787,0
303,433303027,1007218365,0
304,2599877808,1274359245,0
305,2233305982,1274390742,0
306,2052887,836370961,0
307,85416241,857149647,0
308,1853282644,1274338160,0
309,86957755,1304580466,0
310,51940833,1274315032,0
311,670250773,1033939257,1
312,157426933,913189956,0
313,178302443,1297648152,0
314,4163251996,1305241537,0
315,541981355,1305472304,0
316,52961192,876503022,0
317,3997170809,1274075433,0
318,4128187519,1296150085,0
319,4163122702,1305007984,0
320,3652337089,1231548560,0
321,681240,1267937840,0
322,1585484,897333322,0
323,954776247,1049756257,1
324,2590366093,1260302873,0
325,439124555,1008806268,0
326,4140674517,1299562578,0
327,1518921,1255994917,0
328,67462707,997749981,0
329,4095036118,1290583983,1
330,3541015558,1261923131,0
331,202405212,939470775,0
332,1441623640,1105988910,0
333,853329532,1044160814,0
334,488580860,1015728343,1
335,248121623,1021533332,0
336,1669924331,1108537204,0
337,204565606,940617453,0
338,143939941,1077182832,0
339,282081377,1295858456,0
340,119037244,908387188,1
341,1645913248,1299777563,0
342,247019308,1297586733,0
343,4183483804,1310303952,0
344,67544718,1027592882,0
345,3761235710,1241941197,0
346,1097397126,1204534118,0
347,620508224,1056483501,0
348,81983829,876333517,0
349,1270305849,1166173866,0
350,4161631220,1304227519,0
351,4141305196,1300196627,0
352,4140380340,1299185242,0
353,2046283805,1122383741,1
354,4009008156,1275817310,0
355,4128725367,1296581268,0
356,143677881,1061049918,0
357,3592361636,1306060796,0
358,1951268632,1274437565,0
359,1869640513,1236050373,0
360,4128142977,1296097340,0
361,53294505,539218730,0
362,3603999384,1294611989,0
363,226117092,962338866,0
364,4000743967,1274843087,0
365,8713041,956633412,0
366,433303020,1007214662,0
367,52819533,523145530,0
368,49318232,972962282,0
369,4237278,350414296,0
370,67371300,895099581,0
371,48741431,1274607199,0
372,304378132,995936253,0
373,131704055,922344692,0
374,297143828,990249978,1
375,67386420,1034581410,0
376,78149373,932104271,0
377,2067750676,1255982388,0
378,93242514,876127316,0
379,4131199129,1297605970,0
380,4079242651,1287785977,1
381,131735084,885998800,1
382,2146256,1048069775,0
383,626536940,1056501005,0
384,152742696,908367142,0
385,18045197,947873676,0
386,99003028,896814727,0
387,320750,1050777862,0
388,117184388,1274630780,0
389,356912201,1000441257,0
390,179281560,989868665,0
391,85760160,990542549,0
392,1193385944,1073257786,0
393,518430,894365841,0
394,1798672941,1102381830,1
395,79132985,868071669,0
396,18751335,1017225982,1
397,76404569,1274795803,0
398,121043396,875123391,1
399,88243820,855419992,0
400,75512793,913385062,0
401,79937415,865928483,0
402,2732137427,1161113533,0
403,1122900652,1204345432,0
404,1081797,366156621,0
405,1098477442,1062234431,0
406,4142016769,1299235187,0
407,2046656134,1122891984,0
408,2596036461,1151985406,0
409,4126279739,1295385612,0
410,2576694052,1150511008,0
411,180992407,1227213422,0
412,3885339881,1258448227,1
413,653234997,1077388749,0
414,687823754,1052408020,1
415,941626238,1251701408,0
416,96270178,895551701,0
417,106484064,1283608772,0
418,1892762768,1109664639,0
419,867268434,1243174608,0
420,150714057,920898270,1
421,280752331,978956230,0
422,105697860,875811801,1
423,101548702,1254031012,0
424,4132016080,1297931443,0
425,53244045,538083930,0
426,1065209609,1055724171,1
427,46353554,1282891223,0
428,1155812436,1092476439,0
429,59328626,1292825219,0
430,53428913,617456419,0
431,241489001,1016839227,0
432,1502286,1282904926,0
433,456606198,1251709796,0
434,48807116,1274581845,0
435,412317,1274665269,0
436,85623500,883883586,0
437,64421889,898831845,0
438,111568228,1270973602,0
439,906382,386536230,0
440,92375046,858900747,0
441,459538511,1017463384,0
442,3613438006,1233150057,0
443,111177704,897232143,0
444,6480402,518747158,0
445,206613007,941451435,0
446,426656,1274662210,0
447,3760821887,1241792216,0
448,93686339,866931089,0
449,595839898,1230327641,0
450,85743074,857895152,0
451,95595485,1274335602,0
452,133928684,887714197,1
453,289849583,1013099585,1
454,439002832,1008608955,0
455,856450841,1044092669,1
456,87252942,857278958,0
457,131619161,885863448,1
458,18830527,1274490752,0
459,92356153,1002585052,0
460,433760371,1311793245,0
461,293392,894163928,0
462,141537703,975910855,0
463,321600254,996927965,0
464,48722812,1274318008,0
465,1751052274,1101116222,1
466,4169928272,1306918629,0
467,1444858529,1096395545,0
468,4096017461,1290734370,0
469,45855550,1025885073,0
470,124723047,1283215090,0
471,85749492,1216924826,0
472,4126991279,1295519952,0
473,222961763,1297206913,0
474,254706241,968706161,1
475,4120925964,1295474422,0
476,4663899,833943736,0
477,260290671,970795453,0
478,3582769965,1223638695,0
479,86430634,894798894,0
480,127033586,1217562738,0
481,342433,1283077659,0
482,113686508,893844866,0
483,4141168939,1300050759,0
484,328188055,997172758,1
485,86089141,1305290730,0
486,562443,1291760052,0
487,18645939,894903772,0
488,2046490249,1122626592,0
489,444197,102766230,0
490,111840983,875944513,1
491,505864015,1204111016,0
492,1284158917,1109423758,0
493,49013138,924522785,0
494,126542857,917064768,0
495,1690570411,1098616858,1
496,4140721452,1299645170,0
497,844048404,1297793396,0
498,4163248569,1305236169,0
499,281718,896568551,0
500,86928409,997420262,0
501,74457029,997679246,0
502,1300416078,1072151550,1
503,3760921186,1241868828,0
504,3992221333,1272978127,0
505,3761295426,1241968222,0
506,1155460796,1065867280,1
507,5580328,418497263,0
508,143750862,1061038748,0
509,4172241193,1307590339,0
510,111686063,868237094,0
511,2223236459,1132277359,1
512,2063231964,1253632041,0
513,7431394,876062994,0
514,439706064,1009028200,0
515,457346812,1020554571,0
516,18590079,894759395,0
517,3619975623,1233133614,0
518,67574428,997576384,0
519,399840,683953249,0
520,95575446,1063217279,1
521,287006550,982944821,0
522,52809784,569754930,0
523,85989646,1239636332,0
524,69021256,1264497431,0
525,205560139,946557204,0
526,439168182,1008764248,0
527,114507266,872099121,0
528,18648935,997497701,0
529,1133038115,1066245381,0
530,2491341952,1145014729,0
531,150083789,908164384,0
532,1444859010,1196319156,0
533,179274912,946517531,0
534,439043702,1008654270,0
535,1135715769,1064357792,1
536,1056067928,1055248567,0
537,857551935,1239570554,0
538,18155785,846585158,0
539,439040846,1008633917,0
540,67298634,1122174303,0
541,3119069547,1220071764,0
542,4183916183,1310428666,0
543,1149742875,1140391842,0
544,149842083,906358982,1
545,92168865,1282837729,0
546,3761138913,1241902496,0
547,176917443,1287035107,0
548,75582715,1288413363,0
549,259202760,970387238,0
550,85578067,1198546327,0
551,3713893444,1236836863,0
552,172897420,924902907,0
553,143989958,1122771262,0
554,92936705,922313654,0
555,2079820985,1255658657,0
556,1198534387,1203537437,0
557,134028271,887930580,1
558,157448774,913318228,0
559,186890677,935597014,0
560,4165127525,1306377265,0
561,1555584130,1090085386,0
562,439712824,1008970486,0
563,5124008,933830317,0
564,217235696,1296179761,0
565,86826922,997242353,0
566,2063678855,1229292789,1
567,46503395,1274812386,0
568,3760886680,1241826071,0
569,1941869468,1139057277,1
570,86868357,997725435,0
571,1807670910,1239508084,0
572,19160816,931280167,0
573,355017693,1000228891,1
574,131689220,885908975,1
575,205652,1279653641,0
576,121752487,877365826,0
577,67980064,998693417,0
578,1081876603,1057808745,1
579,1902740638,1110450773,1
580,1532911,1275058588,0
581,1921505514,1148484393,1
582,1800862,867760074,0
583,49755071,1103893823,0
584,252514893,966341239,1
585,7024270,918176269,0
586,248753,1283025701,0
587,421176,882966708,0
588,1829539818,1104267714,1
589,102116777,1077991883,1
590,1341111899,1074979000,1
591,439039943,1008629797,0
592,271910969,1283037797,0
593,1098558938,1062233426,0
594,87043308,857162742,0
595,67402799,1122706441,0
596,408114969,1004643932,0
597,369538373,1001548635,0
598,109793913,972958561,0
599,454035921,1274211007,0
600,508928,896807400,0
601,55019966,1280814687,0
602,72948067,845171597,0
603,143674271,1061454555,0
604,114697111,1310609583,0
605,124513634,879086299,1
606,3421311097,1287021313,0
607,1125797080,1204353090,0
608,1600057199,1093297250,1
609,574637727,1027656251,0
610,261976953,1002574711,0
611,3217328308,1208069048,0
612,220175550,955611656,0
613,4132330589,1296849522,0
614,3789183522,1310502418,0
615,265154641,972381627,0
616,1108088953,1274356303,0
617,606009513,1283023158,0
618,98901682,861087283,0
619,306789,1250494881,0
620,3542946831,1221359185,0
621,3586065776,1274626396,0
622,85913883,997614186,0
623,439145276,1008770878,0
624,3311043181,1205782992,0
625,119541635,1125079010,0
626,1173287384,1066924349,0
627,103653113,876184212,0
628,439613838,1008876195,0
629,64115569,875419924,0
630,48350520,1282835131,0
631,67680228,1022556775,0
632,73821041,1127761831,0
633,142725476,960223762,0
634,4129421260,1296821635,0
635,149701771,908306699,0
636,433295429,1007198585,0
637,8712907,754725536,0
638,644170,1283448983,0
639,833468428,1199276678,0
640,439806398,1009069264,0
641,93692383,895129279,0
642,5731311,888685187,0
643,2049117483,1137039795,0
644,57658701,849140664,0
645,85616750,1016827283,0
646,1556988349,1090426025,1
647,53239714,537963530,0
648,862804965,1274699857,0
649,612966490,1234867321,0
650,2085673608,1124900278,1
651,4693593,981149525,0
652,4163226838,1305186051,0
653,193419131,1253637782,0
654,120795931,874957404,0
655,562228723,1283480342,0
656,143910193,1296163608,0
657,505034690,1299440794,0
658,177473346,1274321188,0
659,115484508,876201930,0
660,84758843,1245331460,0
661,103568057,863190404,0
662,4173306406,1307890855,0
663,131832278,1264548690,0
664,258344813,1300042778,0
665,418464828,1017914679,0
666,180153207,1002520781,0
667,85587482,1018640737,0
668,291024054,1038882586,0
669,3621547619,1239632029,1
670,4113911320,1292841611,0
671,18504597,297529683,0
672,544893,895916956,0
673,99078658,1291751525,0
674,131735768,885999240,1
675,419773897,1062372830,0
676,191487273,933888929,0
677,3001560613,1201825641,1
678,145519138,906678686,0
679,86650303,907297962,0
680,3972034474,1270473363,0
681,4162787354,1304755971,0
682,122986779,1260061161,0
683,319288,1289975164,0
684,85858815,907789556,0
685,71126792,874499813,0
686,143942699,1204906333,0
687,439726943,1009119031,0
688,246071793,964158244,0
689,1089650931,1062210338,0
690,439698380,1009002240,0
691,4178259473,1308846461,0
692,85740226,1300255097,0
693,3136108594,1192858626,0
694,100741977,864425953,0
695,4140493757,1298715985,0
696,439082243,1008647862,0
697,141616709,894263752,0
698,3475759158,1216436107,0
699,4653097,200953130,0
700,1670473,84692530,0
701,2064935082,1255993279,0
702,1535176095,1088239732,1
703,641555,1077296545,0
704,53299111,539506830,0
705,121048718,875126474,0
706,67407346,895140539,0
707,193627389,934980744,0
708,91409672,883037039,0
709,487114151,1015632797,0
710,439647062,1008941211,0
711,265159701,972384999,1
712,3178081724,1221374018,0
713,145033684,899047589,0
714,1041034731,1054262065,0
715,3849253095,1299509413,0
716,541995953,1274818366,0
717,1916279035,1138228765,0
718,3816951689,1306668329,0
719,74519004,907246493,0
720,107965507,1253359250,0
721,1388830479,1077986707,0
722,440146270,1283473260,0
723,1092992420,1211164323,0
724,4163175013,1305079916,0
725,3869899232,1299901192,0
726,52949496,998692069,0
727,5808952,845368570,0
728,154166355,1267294402,0
729,854574981,1205066257,0
730,4137625943,1297902246,1
731,1176604,1083647542,0
732,85599856,895376852,0
733,76389043,848877172,0
734,814986,439264730,0
735,86235756,1196549711,0
736,20085586,891827822,0
737,69462253,875859855,0
738,67403817,1218993101,0
739,46703715,1274209652,0
740,141726473,1262740100,0
741,1174202,895477011,0
742,2246757351,1133291472,0
743,543704,1276653010,0
744,4169002124,1306641213,0
745,439653779,1008994257,0
746,97190579,1205812278,0
747,282203621,985335521,0
748,462673348,1012993789,0
749,19016990,1283018544,0
750,325184,896922934,0
751,93639418,858961646,0
752,131610945,885853156,1
753,57520162,932963471,0
754,3193550890,1196650663,0
755,4164873256,1306171627,0
756,52919815,528096730,0
757,47745193,603893567,0
758,3393999612,1211241245,0
759,1984346526,1118443406,0
760,272915696,1044959147,0
761,1041089638,1077988593,0
762,206630564,941456284,0
763,66627181,834246061,0
764,4125272971,1295201660,0
765,425357793,1251270799,0
766,656502,1274821768,0
767,3183336301,1198543082,0
768,94939441,862615916,0
769,1082380626,1060728581,1
770,1082384451,1067587624,1
771,236820900,1300303258,0
772,143724305,1061327776,0
773,66773875,876145408,0
774,155541680,911331864,0
775,287537431,983396968,0
776,87436955,856880686,0
777,3646745776,1231234293,0
778,1633533,1287010740,0
779,139465439,892744293,0
780,439648501,1008923372,0
781,4123454723,1294542893,0
782,143674403,1077054057,0
783,114279918,876342886,1
784,110948362,933534954,0
785,143521451,1018690922,0
786,110270748,894983591,0
787,53146226,534578530,0
788,2155241157,1128775403,0
789,4123546245,1294585248,0
790,56848070,755609863,0
791,439638840,1008959463,0
792,1989909289,1274856856,0
793,1877302607,1109910168,0
794,3608551790,1305537306,0
795,121703122,883882941,0
796,439029466,1008635854,0
797,2479523,920559888,0
798,19600164,963273218,0
799,355004,56822330,0
800,193790247,935027142,1
801,131731180,885992148,1
802,143556506,1077140798,0
803,180145096,946563724,0
804,59218364,879744575,0
805,48728580,893539907,0
806,1949388908,1311161861,0
807,87172106,911742421,0
808,1665934545,1097068799,0
809,3173061244,1305054526,0
810,1587618,1274227094,0
811,48166219,883535274,1
812,183036754,934728410,0
813,3145383418,1193533798,1
814,101635957,879684195,0
815,830324073,1295451889,0
816,223277730,956876002,0
817,1258531,1289975669,0
818,433663429,1017827863,0
819,6439501,398457950,0
820,64450269,875839347,0
821,204557492,940611906,0
822,67469592,895123604,0
823,4126136716,1295364888,0
824,4127791432,1296003457,0
825,4164464476,1305632048,0
826,115273943,907090216,0
827,131703487,904266716,0
828,87153838,907427461,0
829,4455021,1251981174,0
830,4180597996,1309427468,1
831,6364283,1283572345,0
832,248367434,1274792458,0
833,185482963,1274491671,0
834,165250438,919589952,0
835,1554512213,1094549789,0
836,198780784,937682714,0
837,53233949,537831830,0
838,984588422,1052352218,1
839,17841666,292878561,0
840,3617939565,1306486080,0
841,439737806,1008998066,0
842,1460684549,1206508907,0
843,135453590,1274357502,0
844,85455092,907181470,0
845,161376156,916583265,1
846,2057758098,1123584935,0
847,91211938,990502889,0
848,435839567,1007974913,0
849,473934347,1014674195,1
850,439162457,1008728486,0
851,19015517,1274614363,0
852,3761292110,1241961520,0
853,64364338,875707123,0
854,3041426947,1242313377,0
855,91067160,857238309,0
856,456613710,1254902910,0
857,3130797936,1192667555,0
858,55174628,932821783,0
859,592165968,1029551389,0
860,58514092,877968135,0
861,439614325,1008878016,0
862,2370457767,1138565645,0
863,75028770,913388363,0
864,2578071307,1150618460,0
865,1987245605,1118648641,0
866,4125357190,1295247721,0
867,49362650,921031537,0
868,1041093644,1054273098,0
869,134037498,887864068,1
870,956356066,1049853735,1
871,281205062,979085174,0
872,1087925542,1058267719,1
873,143553893,1077394024,0
874,4126328522,1295394860,0
875,3454239620,1213852277,0
876,3374312849,1294754648,0
877,427668486,1038104558,0
878,115176229,1235988502,0
879,1665914215,1232779988,0
880,1128730012,1063558497,0
881,2756082795,1162770845,1
882,3045303982,1263204591,0
883,291541681,985909372,0
884,179486743,1060683016,0
885,504216921,1295471234,0
886,4124216076,1294818224,0
887,67824130,997903677,0
888,339048,927164940,0
889,473195300,1014947501,0
890,2046285811,1122387842,0
891,85429964,997504094,0
892,4128244668,1296193943,0
893,112826614,907478868,0
894,3269605082,1245956839,0
895,4129785584,1297061316,0
896,205557086,946556640,0
897,191475534,933885913,1
898,85993010,857791462,0
899,53158427,1227230739,0
900,66848734,1047764435,0
901,146974050,901740220,0
902,70544577,895469885,0
903,439648675,1008931273,0
904,439124111,1008776728,0
905,152739188,1274721828,0
906,1171868739,1091779055,0
907,92614504,893702783,0
908,4138176818,1298073646,0
909,63509673,1046392128,0
910,64398391,875531075,1
911,18666295,894709582,1
912,2944533550,1174907916,1
913,2747039869,1251695130,0
914,4163169999,1305054325,0
915,64379977,875587636,0
916,195118886,1009813796,0
917,1071006027,1242339820,0
918,49890726,1109862208,0
919,3947543903,1268251262,0
920,1967104842,1117024433,1
921,182847501,1274249022,0
922,3516990955,1218987171,0
923,19358036,747527789,0
924,15590604,1303594900,0
925,3525471405,1219230164,0
926,3295426050,1211163586,0
927,2088821742,1268261332,0
928,1846717,989046150,0
929,139811491,892570642,0
930,1774241427,1274694124,0
931,52820825,523251230,0
932,4125437574,1295261904,0
933,4130562420,1296390728,0
934,3803177289,1288419446,0
935,4128272951,1296217009,0
936,143709831,1077259199,0
937,286271223,982431267,0
938,67264781,999651682,0
939,3354656847,1220071120,0
940,4162221395,1304393486,0
941,502557,1274455221,0
942,303226963,1002810487,0
943,2582443123,1151340365,0
944,67362661,848442593,0
945,4124323375,1294820984,0
946,98964084,894900521,0
947,439100796,1008782516,0
948,3559623290,1222664861,0
949,2034468031,1203644850,0
950,140966765,893223728,0
951,1082451719,1058932346,1
952,204034771,1032452253,0
953,4126646542,1295647130,0
954,982443464,1306570304,0
955,4128186355,1296148653,0
956,210032576,969830009,0
957,5864843,193516330,0
958,143661827,1076925893,0
959,439146881,1008759672,0
960,46539288,675147394,0
961,4126433582,1295364012,0
962,554587301,1289979210,0
963,131726051,885982409,1
964,3562167783,1222679344,0
965,3458198988,1274486984,0
966,4126467036,1295500902,0
967,515970609,1022057184,0
968,3433835599,1212916318,0
969,2894042291,1170267022,0
970,1660194286,1096809796,0
971,872608559,1045864657,0
972,66850973,864767315,0
973,3045353254,1283015497,0
974,538101,1274808926,0
975,4165047177,1306315277,0
976,1496307715,1297048836,0
977,382634,1274663836,0
978,403300413,1278885385,0
979,85719910,858016976,0
980,875771848,1283054286,0
981,3478166857,1216168207,1
982,86272081,1017413064,0
983,80025071,903057282,0
984,109547943,1015918061,0
985,2712921958,1274861111,0
986,439657516,1008923796,0
987,876741572,1046635959,1
988,3196729985,1209548955,0
989,4162028040,1304331022,0
990,188176454,933428144,0
991,4063906502,1295383159,0
992,249611995,1275028047,0
993,4159883296,1303858300,0
994,18654697,1122463438,1
995,4139954778,1298599094,0
996,4123452614,1294534515,0
997,1104492008,1061629256,0
998,6888889,860384185,1
999,2090284141,1255997152,0
1000,751268763,1220044387,0
1001,183496618,1277188544,0
1002,5469972,912142228,0
1003,424235047,1034339976,0
1004,85897518,1305897306,0
1005,258711090,970223078,1
1006,1993755510,1212477731,0
1007,4121099661,1295267852,0
1008,131727301,885986817,0
1009,1082448624,1060765337,1
1010,78218496,1274426280,0
1011,165272026,919627591,1
1012,439661961,1008932487,0
1013,456606343,1251719015,0
1014,194100254,1011371833,1
1015,2996598439,1180650931,1
1016,66631349,896071937,0
1017,4140100781,1298792696,0
1018,439837432,1009147709,0
1019,8617276,1038222089,0
1020,86762091,857823292,0
1021,1504568291,1263524731,0
1022,193413691,1283591579,0
1023,276634564,977365852,0
1024,291317204,1016614508,0
1025,2578210350,1150660385,0
1026,4129049299,1296673218,0
1027,85856439,857384014,0
1028,248542180,964895494,1
1029,3538520459,1220132328,1
1030,2728299397,1160944488,0
1031,3982703267,1306362706,0
1032,555457214,1025828429,0
1033,866793059,1090531712,0
1034,456618617,1254047705,0
1035,213614351,950384231,0
1036,4160168791,1303910730,0
1037,12554406,340741751,0
1038,887330,1283031329,0
1039,87637149,1230374847,0
1040,870827,904274578,0
1041,196296311,1009826324,0
1042,150963666,1204516047,0
1043,439708464,1009064233,0
1044,94091797,860691159,0
1045,1439568477,1196409190,0
1046,167569583,920936238,0
1047,439698338,1008979743,0
1048,299442679,991798730,1
1049,439086743,1008710952,0
1050,128263735,884686916,0
1051,1103552503,1061565692,0
1052,602510973,1274718895,0
1053,276752832,976825960,0
1054,153514253,1239606542,0
1055,121705359,895895651,0
1056,201071636,1274456922,0
1057,183529232,929810469,0
1058,576311552,1306169681,0
1059,3103853233,1237111891,0
1060,180675463,927613359,1
1061,4129173706,1296705238,0
1062,3217316967,1198663267,0
1063,5130517,867921233,0
1064,86264337,907645299,0
1065,67259180,1029787496,0
1066,52991028,530396830,0
1067,2085643962,1124882314,1
1068,439611907,1008887140,0
1069,187689802,938174003,0
1070,171408831,922586765,0
1071,971213707,1199273728,0
1072,984641193,1052365041,0
1073,868300796,1056521745,0
